Date,Region,thermal_actual,thermal_est,nuclear_actual,nuclear_est,hydro_actual,hydro_est
2017-09-22,NorthEastern,12.34,12.38,nan,nan,0.0,0.0
2017-09-23,Northern,624.13,523.93,30.36,30.2,273.27,279.9
2017-09-23,Western,1135.69,1146.57,25.17,3.83,72.0,21.41
2017-09-23,Southern,587.32,578.34,62.73,55.46,111.57,101.99
2017-09-23,Eastern,486.07,436.38,nan,nan,85.94,73.2
2017-09-23,NorthEastern,29.11,28.05,nan,nan,24.64,21.42
2017-09-24,Northern,624.13,520.12,30.36,31.43,273.27,292.18
2017-09-24,Western,1140.12,1168.59,25.17,3.83,72.0,16.95
2017-09-24,Southern,587.32,556.37,62.73,55.38,111.57,72.42
2017-09-24,Eastern,486.07,437.88,nan,nan,85.94,64.41
2017-09-24,NorthEastern,29.11,29.49,nan,nan,24.64,24.36
2017-09-25,Northern,624.13,571.59,30.36,31.41,273.27,303.26
2017-09-25,Western,1140.12,1205.39,25.17,3.82,72.0,23.85
2017-09-25,Southern,591.15,550.65,62.73,55.41,111.57,77.38
2017-09-25,Eastern,486.07,449.09,nan,nan,85.94,71.43
2017-09-25,NorthEastern,29.11,29.55,nan,nan,24.64,22.31
2017-09-26,Northern,626.73,646.01,30.36,31.99,273.27,261.67
2017-09-26,Western,1140.12,1237.06,25.17,3.84,72.0,28.24
2017-09-26,Southern,591.15,535.81,62.73,52.14,111.57,87.54
2017-09-26,Eastern,486.07,453.26,nan,nan,85.94,72.9
2017-09-26,NorthEastern,29.11,30.02,nan,nan,24.64,21.85
2017-09-27,Northern,626.73,661.69,30.36,35.54,273.27,254.28
2017-09-27,Western,1140.12,1245.38,25.17,3.85,72.0,30.32
2017-09-27,Southern,591.15,543.71,62.73,42.16,111.57,79.2
2017-09-27,Eastern,486.07,445.78,nan,nan,85.94,73.83
2017-09-27,NorthEastern,29.11,30.1,nan,nan,24.64,21.47
2017-09-28,Northern,630.62,668.2,30.36,35.75,273.27,248.29
2017-09-28,Western,1140.12,1241.16,25.17,3.83,72.0,26.39
2017-09-28,Southern,591.15,513.01,62.73,42.24,111.57,82.36
2017-09-28,Eastern,486.07,431.07,nan,nan,85.94,70.97
2017-09-28,NorthEastern,29.11,30.25,nan,nan,24.64,22.83
2017-09-29,Northern,630.62,649.48,30.36,35.81,273.27,240.09
2017-09-29,Western,1140.12,1203.24,25.17,16.81,72.0,19.59
2017-09-29,Southern,601.66,485.78,62.73,40.27,111.57,83.47
2017-09-29,Eastern,486.07,417.12,nan,nan,85.94,71.65
2017-09-29,NorthEastern,29.11,29.71,nan,nan,24.64,25.09
2017-09-30,Northern,630.62,661.15,30.36,35.83,273.27,236.19
2017-09-30,Western,1140.12,1134.4,25.17,16.82,72.0,18.41
2017-09-30,Southern,601.66,475.84,62.73,40.47,111.57,69.71
2017-09-30,Eastern,486.07,403.41,nan,nan,85.94,71.71
2017-09-30,NorthEastern,29.11,29.41,nan,nan,24.64,27.65
2017-10-01,Northern,621.75,650.52,25.8,36.17,157.46,222.85
2017-10-01,Western,1155.3,1139.73,25.13,16.84,57.11,14.03
2017-10-01,Southern,575.7,466.38,47.73,40.16,92.06,49.74
2017-10-01,Eastern,479.5,382.63,nan,nan,63.36,71.06
2017-10-01,NorthEastern,29.16,29.11,nan,nan,17.17,27.48
2017-10-03,Northern,621.75,691.52,25.8,36.03,157.46,218.56
2017-10-03,Western,1155.3,1215.31,25.13,16.83,57.11,39.96
2017-10-03,Southern,575.7,523.36,47.73,41.91,92.06,67.76
2017-10-03,Eastern,479.5,396.4,nan,nan,63.36,76.3
2017-10-03,NorthEastern,29.16,29.33,nan,nan,17.17,25.78
2017-10-04,Northern,621.75,719.34,25.8,35.95,157.46,216.91
2017-10-04,Western,1155.3,1206.24,25.13,16.84,57.11,45.92
2017-10-04,Southern,575.7,548.0,47.73,43.93,92.06,80.9
2017-10-04,Eastern,479.5,387.92,nan,nan,63.36,80.68
2017-10-04,NorthEastern,29.16,30.12,nan,nan,17.17,25.15
2017-10-05,Northern,621.75,741.62,25.8,35.91,157.46,212.62
2017-10-05,Western,1150.82,1221.59,25.13,16.83,57.11,33.89
2017-10-05,Southern,575.7,577.17,47.73,45.3,92.06,74.98
2017-10-05,Eastern,479.5,387.85,nan,nan,63.36,81.2
2017-10-05,NorthEastern,29.16,31.05,nan,nan,17.17,24.35
2017-10-06,Northern,621.75,742.06,25.8,35.87,157.46,209.7
2017-10-06,Western,1150.82,1212.64,25.13,16.83,57.11,31.23
2017-10-06,Southern,581.31,569.68,47.73,45.87,92.06,65.89
2017-10-06,Eastern,479.5,401.48,nan,nan,63.36,77.08
2017-10-06,NorthEastern,29.16,31.36,nan,nan,17.17,23.01
2017-10-07,Northern,621.75,750.1,25.8,36.04,157.46,208.0
2017-10-07,Western,1150.82,1203.27,25.13,16.83,57.11,24.51
2017-10-07,Southern,581.31,573.48,47.73,46.09,92.06,74.06
2017-10-07,Eastern,479.5,402.74,nan,nan,63.36,73.75
2017-10-07,NorthEastern,29.16,30.95,nan,nan,17.17,21.94
2017-10-08,Northern,621.75,728.14,25.8,36.1,157.46,200.47
2017-10-08,Western,1150.82,1157.01,25.13,16.84,57.11,16.51
2017-10-08,Southern,590.19,524.03,47.73,46.26,92.06,71.65
2017-10-08,Eastern,479.5,404.25,nan,nan,63.36,72.49
2017-10-08,NorthEastern,29.16,30.12,nan,nan,17.17,19.52
2017-10-09,Northern,621.75,727.35,25.8,36.01,157.46,195.33
2017-10-09,Western,1155.3,1160.06,25.13,16.83,57.11,18.71
2017-10-09,Southern,590.19,550.53,47.73,46.15,92.06,94.72
2017-10-09,Eastern,479.5,413.99,nan,nan,63.36,66.62
2017-10-09,NorthEastern,29.16,30.21,nan,nan,17.17,20.29
2017-10-10,Northern,621.75,721.26,25.8,36.06,157.46,191.8
2017-10-10,Western,1155.3,1178.27,25.13,15.68,57.11,19.31
2017-10-10,Southern,590.19,558.62,47.73,46.2,92.06,111.74
2017-10-10,Eastern,479.5,419.5,nan,nan,63.36,69.8
2017-10-10,NorthEastern,29.16,30.48,nan,nan,17.17,21.31
2017-10-11,Northern,621.75,714.42,25.8,35.96,157.46,185.07
2017-10-11,Western,1155.3,1191.84,25.13,16.02,57.11,19.11
2017-10-11,Southern,598.81,571.5,47.73,46.36,92.06,102.52
2017-10-11,Eastern,486.88,416.31,nan,nan,63.36,73.77
2017-10-11,NorthEastern,29.16,30.17,nan,nan,17.17,21.88
2017-10-12,Northern,621.75,703.75,25.8,35.79,157.46,180.93
2017-10-12,Western,1155.3,1219.13,25.13,16.63,57.11,19.93
2017-10-12,Southern,598.81,574.58,47.73,46.41,92.06,102.35
2017-10-12,Eastern,486.88,412.28,nan,nan,63.36,76.79
2017-10-12,NorthEastern,29.16,29.92,nan,nan,17.17,19.9
2017-10-13,Northern,621.75,704.49,25.8,36.05,157.46,177.37
2017-10-13,Western,1155.3,1226.64,25.13,16.88,57.11,21.27
2017-10-13,Southern,598.81,565.98,47.73,46.48,92.06,105.72
2017-10-13,Eastern,486.88,400.19,nan,nan,63.36,72.37
2017-10-13,NorthEastern,29.16,29.63,nan,nan,17.17,21.15
2017-10-14,Northern,618.71,684.25,25.8,36.09,157.46,170.48
2017-10-14,Western,1155.3,1205.16,25.13,16.82,57.11,19.68
2017-10-14,Southern,598.81,558.71,47.73,46.41,92.06,95.59
2017-10-14,Eastern,486.88,419.29,nan,nan,63.36,74.79
2017-10-14,NorthEastern,29.16,28.71,nan,nan,17.17,20.9
2017-10-15,Northern,633.77,655.21,25.8,36.08,157.46,165.81
2017-10-15,Western,1155.3,1180.41,25.13,16.89,57.11,17.75
2017-10-15,Southern,594.31,478.54,47.73,46.67,92.06,88.74
2017-10-15,Eastern,486.88,407.83,nan,nan,63.36,76.3
2017-10-15,NorthEastern,29.16,29.87,nan,nan,17.17,23.29
2017-10-16,Northern,626.17,656.71,25.8,36.31,157.46,161.47
2017-10-16,Western,1155.3,1211.94,25.13,16.89,57.11,21.39
2017-10-16,Southern,602.87,493.32,47.73,48.22,92.06,96.55
2017-10-16,Eastern,486.88,413.23,nan,nan,63.36,49.46
2017-10-16,NorthEastern,29.16,30.68,nan,nan,17.17,21.29
2017-10-17,Northern,629.21,684.75,25.8,36.35,157.46,160.11
2017-10-17,Western,1155.3,1219.8,25.13,16.86,57.11,18.38
2017-10-17,Southern,602.87,528.9,47.73,50.7,92.06,98.5
2017-10-17,Eastern,486.88,436.6,nan,nan,63.36,63.63
